Key,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
"[""tianyi_membership_benefits_upload_size_per_day""]",单日上传文件总量,File upload volume per day,Tägliches Upload-Volumen,アップロード１日あたりの上限,Volume total de fichiers téléversés par jour,Volumen de suibida de archivos por día,Volume de upload de arquivos por dia,Uploadvolume per dag,Volume di caricamento dei file al giorno,일일 파일 업로드 총 용량,單日上傳檔案總量
"[""tianyi_membership_benefits_upload_size_single""]",单次上传文件大小,File size limit per upload,Maximale Dateigröße pro Upload,アップロード１回あたりのサイズ上限,Taille maximale par fichier à téléverser,Límite de tamaño por subida de archivo,Limite de tamanho do arquivo por upload,Bestandsgrootte limiet per upload,Limite di dimensione del file per ogni caricamento,단일 업로드 파일 크기,單次上傳檔案大小
"[""tianyi_membership_benefits_no_speed_limit""]",不限速,Unlimited,Unbegrenzt,制限なし,Sans limitation de vitesse,Ilimitado,Sem limites,Onbeperkt,Illimitato,속도 제한 없음,不限速
"[""tianyi_membership_benefits_tips""]",开通天翼云盘NAS会员，享会员权益,Subscribe to 189 Cloud NAS membership to enjoy more benefits,"189 Cloud NAS-Mitgliedschaft abonnieren, um exklusive Vorteile zu genießen",189 Cloud NASメンバーシップを開通して、会員特典を楽しむ,Abonnez-vous à l'abonnement 189 Cloud NAS pour bénéficier des avantages membres,Activa la membresía NAS de 189 Cloud para disfrutar de los beneficios,Inscreva-se na assinatura do 189 Cloud NAS para desfrutar de mais benefícios,Abonneer op 189 Cloud NAS-lidmaatschap voor exclusieve voordelen,Abbonati al servizio 189 Cloud NAS per godere di maggiori vantaggi,189 Cloud NAS 회원에 가입하고 혜택을 누릴 수 있어요.,開通189 Cloud NAS 會員，享會員權益
"[""the download url returned by 115 is empty""]",115网盘不支持下载该文件,115 Cloud Drive does not support downloading this file.,115 Cloud Drive does not support downloading this file.,115 Cloud Drive does not support downloading this file.,115 Cloud Drive does not support downloading this file.,115 Cloud Drive does not support downloading this file.,115 Cloud Drive does not support downloading this file.,115 Cloud Drive does not support downloading this file.,115 Cloud Drive does not support downloading this file.,115 Cloud Drive does not support downloading this file.,115網盤不支援下載該文件
"[""local file access denied""]",该文件不允许上传,Uploading this file is not permitted,Diese Datei kann nicht hochgeladen werden,このファイルはアップロードできません。,Le téléchargement de ce fichier n’est pas autorisé.,No se permite subir este archivo,Não é permitido carregar este ficheiro,Het is niet toegestaan dit bestand te uploaden,Non è consentito caricare questo file,이 파일은 업로드할 수 없습니다,該檔案不允許上傳
"[""aws_s3_region_af_south_1""]",非洲 (开普敦),Africa (Cape Town),Afrika (Kapstadt),アフリカ（ケープタウン）,Afrique (Le Cap),África (Ciudad del Cabo),África (Cidade do Cabo),Afrika (Kaapstad),Africa (Città del Capo),아프리카 (케이프타운),非洲 (開普敦)
"[""aws_s3_region_ap_east_1""]",中国香港,"Hong Kong, China","Hongkong, China",中国香港,"Hong Kong, Chine","Hong Kong, China","Hong Kong, China","Hongkong, China","Hong Kong, Cina",중국 홍콩,中國香港
"[""aws_s3_region_ap_east_2""]",中国台北,Chinese Taipei,"Taipeh, China",中国台北,Taipei chinois,Taipei Chino,Taipé Chinês,"Taipei, China",Taipei Cinese,중국 타이베이,中國臺北
"[""aws_s3_region_ap_south_2""]",亚太地区 (德拉巴),Asia Pacific (Hyderabad),Asien-Pazifik (Hyderabad),アジア太平洋地域（ハイデラバード）,Asie-Pacifique (Hyderabad),Asia Pacifico (Hyderabad),Ásia-Pacífico (Hyderabad),Azië-Pacific (Hyderabad),Asia-Pacifico (Hyderabad),아시아 태평양 (하이데라바드),亞太地區 (海德拉巴)
"[""aws_s3_region_ap_southeast_3""]",亚太地区 (雅加达),Asia Pacific (Jakarta),Asien-Pazifik (Jakarta),アジア太平洋地域（ジャカルタ）,Asie-Pacifique (Jakarta),Asia Pacifico (Yakarta),Ásia-Pacífico (Jacarta),Azië-Pacific (Jakarta),Asia-Pacifico (Giacarta),아시아 태평양 (자카르타),亞太地區 (雅加達)
"[""aws_s3_region_ap_southeast_4""]",亚太地区 (墨尔本),Asia Pacific (Melbourne),Asien-Pazifik (Melbourne),アジア太平洋地域（メルボルン）,Asie-Pacifique (Melbourne),Asia Pacifico (Melbourne),Ásia-Pacífico (Melbourne),Azië-Pacific (Melbourne),Asia-Pacifico (Melbourne),아시아 태평양 (멜버른),亞太地區 (墨爾本)
"[""aws_s3_region_ap_southeast_5""]",亚太地区 (马来西亚),Asia Pacific (Malaysia),Asien-Pazifik (Malaysia),アジア太平洋地域（マレーシア）,Asie-Pacifique (Malaisie),Asia Pacifico (Malasia),Ásia-Pacífico (Malásia),Azië-Pacific (Maleisië),Asia-Pacifico (Malesia),아시아 태평양 (말레이시아),亞太地區 (馬來西亞)
"[""aws_s3_region_ap_southeast_6""]",亚太地区 (新西兰),Asia Pacific (New Zealand),Asien-Pazifik (Neuseeland),アジア太平洋地域（ニュージーランド）,Asie-Pacifique (Nouvelle-Zélande),Asia Pacifico (Nueva Zelanda),Ásia-Pacífico (Nova Zelândia),Azië-Pacific (Nieuw-Zeeland),Asia-Pacifico (Nuova Zelanda),아시아 태평양 (뉴질랜드),亞太地區 (紐西蘭)
"[""aws_s3_region_ap_southeast_7""]",亚太地区 (泰国),Asia Pacific (Thailand),Asien-Pazifik (Thailand),アジア太平洋地域（タイ）,Asie-Pacifique (Thaïlande),Asia Pacifico (Tailandia),Ásia-Pacífico (Tailândia),Azië-Pacific (Thailand),Asia-Pacifico (Thailandia),아시아 태평양 (태국),亞太地區 (泰國)
"[""aws_s3_region_ca_west_1""]",加拿大 (卡尔加里),Canada (Calgary),Kanada (Calgary),カナダ（カルガリー）,Canada (Calgary),Canadá (Calgary),Canadá (Calgary),Canada (Calgary),Canada (Calgary),캐나다 (캘거리),加拿大 (卡加利)
"[""aws_s3_region_eu_central_2""]",欧洲 (苏黎世),Europe (Zurich),Europa (Zürich),ヨーロッパ（チューリッヒ）,Europe (Zurich),Europa (Zúrich),Europa (Zurique),Europa (Zürich),Europa (Zurigo),유럽 (취리히),歐洲 (蘇黎世)
"[""aws_s3_region_eu_south_1""]",欧洲 (米兰),Europe (Milan),Europa (Mailand),ヨーロッパ（ミラノ）,Europe (Milan),Europa (Milán),Europa (Milão),Europa (Milaan),Europa (Milano),유럽 (밀라노),歐洲 (米蘭)
"[""aws_s3_region_eu_south_2""]",欧洲 (西班牙),Europe (Spain),Europa (Spanien),ヨーロッパ（スペイン）,Europe (Espagne),Europa (España),Europa (Espanha),Europa (Spanje),Europa (Spagna),유럽 (스페인),歐洲 (西班牙)
"[""aws_s3_region_il_central_1""]",以色列 (特拉维夫),Israel (Tel Aviv),Israel (Tel Aviv),イスラエル（テルアビブ）,Israël (Tel Aviv),Israel (Tel Aviv),Israel (Tel Aviv),Israël (Tel Aviv),Israele (Tel Aviv),이스라엘 (텔아비브),以色列 (特拉維夫)
"[""aws_s3_region_me_central_1""]",中东 (阿联酋),Middle East (UAE),Naher Osten (VAE),中東（アラブ首長国連邦）,Moyen-Orient (Émirats arabes unis),Oriente Medio (EAU),Médio Oriente (Emirados Árabes Unidos),Midden-Oosten (Verenigde Arabische Emiraten),Medio Oriente (Emirati Arabi Uniti),중동 (아랍에미리트),中東 (阿聯)
"[""aws_s3_region_me_south_1""]",中东 (巴林),Middle East (Bahrain),Naher Osten (Bahrain),中東（バーレーン）,Moyen-Orient (Bahreïn),Oriente Medio (Baréin),Médio Oriente (Bahrein),Midden-Oosten (Bahrein),Medio Oriente (Bahrain),중동 (바레인),中東 (巴林)
"[""aws_s3_region_mx_central_1""]",墨西哥 (集中),Mexico (Central),Mexiko (Zentral),メキシコ（中部）,Mexique (Centre),México (Central),México (Central),Mexico (Centraal),Messico (centrale),멕시코 (중부),墨西哥（中部）
"[""aws_s3_region_ap_northeast_1""]",亚太地区 (东京),Asia Pacific (Tokyo),Asien-Pazifik (Tokio),アジア太平洋地域（東京）,Asie-Pacifique (Tokyo),Asia Pacifico (Tokio),Ásia-Pacífico (Tóquio),Azië-Pacific (Tokio),Asia-Pacifico (Tokyo),아시아 태평양 (도쿄),亞太地區 (東京)
"[""aws_s3_region_ap_northeast_2""]",亚太地区 (首尔),Asia Pacific (Seoul),Asien-Pazifik (Seoul),アジア太平洋地域（ソウル）,Asie-Pacifique (Séoul),Asia Pacifico (Seúl),Ásia-Pacífico (Seul),Azië-Pacific (Seoul),Asia-Pacifico (Seoul),아시아 태평양 (서울),亞太地區 (首爾)
"[""aws_s3_region_ap_northeast_3""]",亚太地区 (大阪),Asia Pacific (Osaka),Asien-Pazifik (Osaka),アジア太平洋地域（大阪）,Asie-Pacifique (Osaka),Asia Pacifico (Osaka),Ásia-Pacífico (Osaka),Azië-Pacific (Osaka),Asia-Pacifico (Osaka),아시아 태평양 (오사카),亞太地區 (大阪)
"[""aws_s3_region_ap_south_1""]",亚太地区 (孟买),Asia Pacific (Mumbai),Asien-Pazifik (Mumbai),アジア太平洋地域（ムンバイ）,Asie-Pacifique (Mumbai),Asia Pacifico (Mumbai),Ásia-Pacífico (Mumbai),Azië-Pacific (Mumbai),Asia-Pacifico (Mumbai),아시아 태평양 (롱바이),亞太地區 (孟買)
"[""aws_s3_region_ap_southeast_1""]",亚太地区 (新加坡),Asia Pacific (Singapore),Asien-Pazifik (Singapur),アジア太平洋地域（シンガポール）,Asie-Pacifique (Singapour),Asia Pacifico (Singapur),Ásia-Pacífico (Singapura),Azië-Pacific (Singapore),Asia-Pacifico (Singapore),아시아 태평양 (싱가포르),亞太地區 (新加坡)
"[""aws_s3_region_ap_southeast_2""]",亚太地区 (悉尼),Asia Pacific (Sydney),Asien-Pazifik (Sydney),アジア太平洋地域（シドニー）,Asie-Pacifique (Sydney),Asia Pacifico (Sidney),Ásia-Pacífico (Sydney),Azië-Pacific (Sydney),Asia-Pacifico (Sydney),아시아 태평양 (시드니),亞太地區 (雪梨)
"[""aws_s3_region_ca_central_1""]",加拿大 (中部),Canada (Central),Kanada (Central),カナダ（中部）,Canada (Centre),Canadá (Central),Canadá (Central),Canada (Centraal),Canada (centrale),캐나다 (중부),加拿大 (中部)
"[""aws_s3_region_eu_central_1""]",欧洲 (法兰克福),Europe (Frankfurt),Europa (Frankfurt),ヨーロッパ（フランクフルト）,Europe (Francfort),Europa (Fráncfort),Europa (Frankfurt),Europa (Frankfurt),Europa (Francoforte),유럽 (프랑크푸르트),歐洲 (法蘭克福)
"[""aws_s3_region_eu_north_1""]",欧洲 (斯德哥尔摩),Europe (Stockholm),Europa (Stockholm),ヨーロッパ（ストックホルム）,Europe (Stockholm),Europa (Estocolmo),Europa (Estocolmo),Europa (Stockholm),Europa (Stoccolma),유럽 (스톡홀름),歐洲 (斯德哥爾摩)
"[""aws_s3_region_eu_west_1""]",欧洲 (爱尔兰),Europe (lreland),Europa (Irland),ヨーロッパ（アイルランド）,Europe (Irlande),Europa (lrlanda),Europa (Irlanda),Europa (Ierland),Europa (Irlanda),유럽 (아일랜드),歐洲 (愛爾蘭)
"[""aws_s3_region_eu_west_2""]",欧洲 (伦敦),Europe (London),Europa (London),ヨーロッパ（ロンドン）,Europe (Londres),Europa (Londres),Europa (Londres),Europa (Londen),Europa (Londra),유럽 (런던),歐洲 (倫敦)
"[""aws_s3_region_eu_west_3""]",欧洲 (巴黎),Europe (Paris),Europa (Paris),ヨーロッパ（パリ）,Europe (Paris),Europa (París),Europa (Paris),Europa (Parijs),Europa (Parigi),유럽 (파리),歐洲 (巴黎)
"[""aws_s3_region_sa_east_1""]",南美洲 (圣保罗),South America (Säo Paulo),Südamerika (Säo Paulo),南アメリカ（サンパウロ）,Amérique du Sud (São Paulo),América del Sur (Säo Paulo),América do Sul (São Paulo),Zuid-Amerika (São Paulo),Sudamerica (San Paolo),남아메리카 (상파울루),南美洲 (聖保羅)
"[""aws_s3_region_us_east_1""]",美国 (弗吉尼亚北部),United States (N. Virginia),USA (Nord-Virginia),アメリカ（北バージニア）,États-Unis (Virginie du Nord),Estados Unidos (Norte de Virginia),Estados Unidos (Virgínia do Norte),Verenigde Staten (Noord-Virginia),Stati Uniti (Virginia del Nord),미국 (버지니아 북부),美國 (北維吉尼亞)
"[""aws_s3_region_us_east_2""]",美国 (俄亥俄州),United States (Ohio),USA (Ohio),アメリカ（オハイオ）,États-Unis (Ohio),Estados Unidos (Ohio),Estados Unidos (Ohio),Verenigde Staten (Ohio),Stati Uniti (Ohio),미국 (오하이오),美國 (俄亥俄州)
"[""aws_s3_region_us_west_1""]",美国 (加利福尼亚北部),United States (N. California),USA (Nordkalifornien),アメリカ（北カリフォルニア）,États-Unis (Nord de la Californie),Estados Unidos (Norte de California),Estados Unidos (Norte da Califórnia),Verenigde Staten (Noord-Californië),Stati Uniti (California settentrionale),미국 (캘리포니아),美國 (北加利福尼亞州)
"[""aws_s3_region_us_west_2""]",美国 (俄勒冈州),United States (Oregon),USA (Oregon),アメリカ（オレゴン州）,États-Unis (Oregon),Estados Unidos (Oregón),Estados Unidos (Oregon),Verenigde Staten (Oregon),Stati Uniti (Oregon),미국 (오레곤),美國 (奧勒岡州)
"[""aws_s3_region_cn_north_1""]",中国 (北京),China (Beijing),China (Beijing),中国（北京）,Chine (Pékin),China (Beijing),China (Pequim),China (Beijing),Cina (Pechino),중국 (베이징),中國 (北京)
"[""aws_s3_region_cn_northwest_1""]",中国 (宁夏),China (Ningxia),China (Ningxia),中国（寧夏）,Chine (Ningxia),China (Ningxia),China (Ningxia),China (Ningxia),Cina (Ningxia),중국 (닝샤),中國 (寧夏)
